compressed_size,total_compression,ratio,compressed_write,compress_time,uncompressed_write,uncompressed_size
46958,0.001135,0.046958,0.000295,0.00084,0.004619,1000000
70432,0.001371,0.0469547,0.000158,0.001213,0.001316,1500000
93908,0.001854,0.046954,0.0002,0.001654,0.001808,2000000
117388,0.002228,0.0469552,0.000231,0.001997,0.002311,2500000
140859,0.002653,0.046953,0.000272,0.002381,0.002744,3000000
164338,0.003111,0.0469537,0.000306,0.002805,0.003269,3500000
187814,0.003769,0.0469535,0.000535,0.003234,0.003792,4000000
211288,0.003959,0.0469529,0.000386,0.003573,0.004278,4500000
234764,0.004545,0.0469528,0.000422,0.004123,0.004794,5000000
258238,0.004844,0.0469524,0.000461,0.004383,0.005062,5500000
281714,0.005243,0.0469523,0.000491,0.004752,0.005537,6000000
305193,0.005791,0.0469528,0.000524,0.005267,0.006091,6500000
328664,0.00608,0.046952,0.000562,0.005518,0.006457,7000000
352143,0.00648,0.0469524,0.000584,0.005896,0.006959,7500000
375619,0.007254,0.0469524,0.000792,0.006462,0.007627,8000000
399093,0.007633,0.0469521,0.000826,0.006807,0.008017,8500000
422569,0.008086,0.0469521,0.00071,0.007376,0.008555,9000000
446043,0.008165,0.0469519,0.00071,0.007455,0.008715,9500000
469519,0.009076,0.0469519,0.00076,0.008316,0.009502,10000000
492998,0.009286,0.0469522,0.000776,0.00851,0.009863,10500000
516469,0.009381,0.0469517,0.000817,0.008564,0.010095,11000000
539948,0.010043,0.046952,0.00084,0.009203,0.010789,11500000
563424,0.010164,0.046952,0.000879,0.009285,0.010901,12000000
586898,0.010976,0.0469518,0.000927,0.010049,0.011652,12500000
610374,0.011314,0.0469518,0.000944,0.01037,0.0124,13000000
633848,0.011419,0.0469517,0.000984,0.010435,0.012283,13500000
657324,0.011807,0.0469517,0.001012,0.010795,0.012769,14000000
680803,0.012248,0.0469519,0.001036,0.011212,0.013538,14500000
704274,0.012652,0.0469516,0.001103,0.011549,0.013615,15000000
727753,0.013471,0.0469518,0.001161,0.01231,0.014206,15500000
751229,0.013702,0.0469518,0.001188,0.012514,0.01462,16000000
774703,0.014152,0.0469517,0.001203,0.012949,0.014977,16500000
798179,0.01463,0.0469517,0.001212,0.013418,0.015518,17000000
821658,0.014865,0.0469519,0.001243,0.013622,0.015976,17500000
845129,0.015687,0.0469516,0.001297,0.01439,0.016819,18000000
868608,0.015511,0.0469518,0.001315,0.014196,0.016801,18500000
892079,0.015985,0.0469515,0.001339,0.014646,0.017282,19000000
915558,0.017113,0.0469517,0.001375,0.015738,0.018095,19500000
939034,0.016969,0.0469517,0.001432,0.015537,0.018035,20000000
